Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,46.47,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,39.19,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,38.63,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,39.76,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,40.19,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,33.53,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,30.99,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,30.07,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,28.82,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,31.09,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,35.06,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,50.81,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,28.62,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,27.17,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,61.41,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,63.3,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,64.05,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,78.25,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,70.02,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,64.45,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,64.14,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,51.3,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,48,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,38.97,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,35.65,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,42.99,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,33.42,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,44.53,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,32.69,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,43.12,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,17.49,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,10.65,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,9.04,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,8.96,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,19.97,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,8.58,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,11.89,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,13.85,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,10.98,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,9.23,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,8.18,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,11.9,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,10.81,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,10.76,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,9.45,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,9.24,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,83.75,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,76.56,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,77.08,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,73.38,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,73.9,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,73.21,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,88.15,Kilotonnes,Carbon dioxide equivalents
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,95.25,Kilotonnes,Carbon dioxide equivalents
